,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
0,50/07,2007,2007-08-04 00:00:00,Achat de fournitures informatiques,Engagement,264360.0,XOS MAROC,Marché Fournitures,Acquisition du consommable informatique,Direction régionale CHAOUIA TADLA (DRCT),Investissement
1,673/2008,2008,2008-06-04 00:00:00,Achat de fournitures de bureau,Engagement,8820.0,CARREFOUR TECHNOLOGIE,Bon de commandes,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
2,28/2007,2007,2006-11-26 00:00:00,Agencements et aménagements des constructions,Engagement,441000.0,STE EPICURIA-O'PURE,Marché Fournitures,Acquisition de fournitures sanitaires,Direction des moyens generaux,Investissement
3,14/2008,2008,2008-08-19 00:00:00,Achat de fournitures informatiques,Engagement,767520.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique et bureautique,Direction des moyens generaux,Investissement
4,12/2008,2008,2008-02-14 00:00:00,Achat de fournitures de bureau,Engagement,3360.0,IMPREMERIE HOCHE,Bon de commandes,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
5,51/2008,2008,2009-12-11 00:00:00,Achat de fournitures de bureau,Engagement,90720.0,IMPRIMERIE EL MAARIF EL JADIDA,Marché Travaux,Travaux d'impression,Ex Siége,Investissement
6,27/2008,2008,2009-04-13 00:00:00,Mobilier de bureau,Engagement,1395468.0,SMES,Marché Travaux,Acquisition du Mobilier de Bureau,Direction des moyens generaux,Investissement
7,42/2008,2008,2009-12-01 00:00:00,Matériel informatique,Engagement,282326.4,IB MAROC.COM,Marché Travaux,Acquisition d'équipements informatiques,Ex Siége,Investissement
8,61/2008,2008,2010-02-12 00:00:00,Achats des prestations de service,Engagement,3812400.0,ERNEST & YOUNG,Marché Services,Service,Ex Siége,Investissement
9,36/2008,2008,2009-11-09 00:00:00,Immobilisations incorporelles diverses,Engagement,4982140.0,GROUPEMENT DE SOCIETES ALGOE & I3E CONSULTING,Marché Services,Service,Direction des moyens generaux,Investissement
10,33/2008,2008,2009-05-19 00:00:00,Achat de fournitures de bureau,Engagement,69390.25,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
11,60/2008,2008,2010-02-12 00:00:00,Agencements et améganements des agences et des représentations,Engagement,2051984.4,ACORA s.a.r.l,Marché Travaux,Travaux,Ex Siége,Investissement
12,6/2010,2010,2010-10-27 00:00:00,Achat de fournitures de bureau,Engagement,1075200.0,DAR EL KOUNACHE,Marché Fournitures,Acquisition de fournitures de bureau,Ex Siége,Investissement
13,14/2011,2011,2011-05-04 00:00:00,Réception & participation aux manifestations officielles									,Engagement,21120.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
14,11/2011,2011,2011-01-20 00:00:00,Réception & participation aux manifestations officielles									,Engagement,4032.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
15,148/2011,2011,2011-09-14 00:00:00,Achat de fournitures de bureau,Engagement,246.0,FIRST  EQUIPEMENT PUBLICITE GRAVURE,Bon de commandes,Acquisition de fournitures de bureau,Ex Siége,Investissement
16,218/2011,2011,2011-10-18 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2883.6,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
17,220/2011,2011,2011-10-18 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2035.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
18,226/2011,2011,2011-10-26 00:00:00,Achat de fournitures de bureau,Engagement,198000.0,HAZZAZ BOUBKER,Marché Fournitures,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
19,121/2011,2011,2011-08-24 00:00:00,Primes de publicité									,Engagement,3000.0,IMPRIMAHD,Bon de commandes,Travaux d'impression,Ex Siége,Investissement
20,58/2011,2011,2011-05-09 00:00:00,Achat de fournitures de bureau,Engagement,617820.0,DICAPA,Marché Fournitures,Acquisition de fournitures de bureau,Ex Siége,Investissement
21,64/2011,2011,2011-06-30 00:00:00,Achat de fournitures de bureau,Engagement,1248.0,PAPETERIE MOURAI,Bon de commandes,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
22,32/2011,2011,2011-06-13 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,1288500.0,ETABLISSEMENT ZITOUNI,Marché Fournitures,Acquisition de mobilier de restauration,Ex Siége,Investissement
23,685/2011,2011,2012-04-18 00:00:00,Maintenance des agencements & installations techniques									,Engagement,2806.45,OTIS MAROC,Bon de commandes,Acquisition de fournitures électriques,Ex Siége,Investissement
24,422/2011,2011,2011-12-16 00:00:00,Maintenance des agencements & installations techniques									,Engagement,156240.0,POLY LINE,Marché Services,Maintenance,Ex Siége,Investissement
25,379/2012,2012,2012-04-09 00:00:00,Achat de fournitures de bureau,Engagement,1800.0,MAPAMA,Bon de commandes,Acquisition du consommable bureautique,Siege,Investissement
26,589/2011,2011,2012-03-16 00:00:00,Agencements et aménagements des constructions,Engagement,530515.2,BORA CONSTRUCTION,Marché Travaux,Travaux,Ex Siége,Investissement
27,54/2012,2012,2012-03-09 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2121.01,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
28,513/2011,2011,2012-02-08 00:00:00,Maintenance des agencements & installations techniques									,Engagement,87120.0,JBL ELECTRONICS,Marché Services,Maintenance,Ex Siége,Investissement
29,465/2011,2011,2012-01-19 00:00:00,Achat de fournitures informatiques,Engagement,132000.0,SOCIETE DIDALI,Bon de commandes,Acquisition du consommable informatique,Ex Siége,Investissement
