Date OS;Nature de prestation;Service bénéficiaire;Rubrique budgétaire;Fournisseur;type Frs;type de dépense;Montant dépens TTC;Service bénéficiair;type budget(I,F);délai d’exécution;délai réel d’exécution.
03/09/2011 0:00;Réception et participation aux manifestations officielles;Ex Siége;"Réception & participation aux manifestations officielles									";LP TRAITEUR;local;Bon de commandes;11 900;Ex Siége;Investissement;0;
07/11/2011 0:00;Acquisition de mobilier de restauration;Ex Siége;Autres mobiliers, mat.de bureau et aménagements divers;ETABLISSEMENT ZITOUNI;local;Marché Fournitures;1 288 500;Ex Siége;Investissement;2;
06/06/2011 0:00;Acquisition du consommable informatique et bureautique;Ex Siége;Achat de fournitures informatiques;CARREFOUR TECHNOLOGIE;local;Marché Fournitures;665 700;Ex Siége;Investissement;2;
04/18/2011 00:00:00;Travaux d'impression;Ex Siége;"Primes de publicité									";IMPRIMAHD;local;Bon de commandes;3 000;Ex Siége;Investissement;0;
05/18/2011 00:00:00;Travaux d'impression;Ex Siége;"Primes de publicité									";MAGHREB COLOR;local;Bon de commandes;54 000;Ex Siége;Investissement;0;
06/24/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;198;Ex Siége;Investissement;0;
06/30/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;408;Ex Siége;Investissement;0;
09/26/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;168;Ex Siége;Investissement;0;
09/26/2011 00:00:00;Acquisition de fournitures de bureau;Ex Siége;Achat de fournitures de bureau;FIRST  EQUIPEMENT PUBLICITE GRAVURE;local;Bon de commandes;504;Ex Siége;Investissement;1;
06/04/2008 0:00;Acquisition de fournitures de bureau;Direction des moyens generaux;Achat de fournitures de bureau;CARREFOUR TECHNOLOGIE;local;Bon de commandes;8 820;Direction des moyens generaux;Investissement;;
10/10/2007 0:00;Acquisition de fournitures informatiques;Direction des moyens generaux;Matériel informatique;JET DOCUNET;local;Marché Fournitures;6 576 000;Direction des moyens generaux;Investissement;9;
02/29/2008 00:00:00;Travaux de transport;Direction des moyens generaux;"Transport									";SABRATRANS;local;Bon de commandes;95 377;Direction des moyens generaux;Investissement;;
07/09/2008 0:00;Réparation;Direction des moyens generaux;"Entretien et réparations des biens mobiliers									";SODIFMAB;local;Bon de commandes;4 740;Direction des moyens generaux;Investissement;;
09/07/2007 0:00;Acquisition de fournitures sanitaires;Direction des moyens generaux;Agencements et aménagements des constructions;STE EPICURIA-O'PURE;local;Marché Fournitures;441 000;Direction des moyens generaux;Investissement;10;
09/10/2008 0:00;Acquisition du consommable bureautique;Direction des moyens generaux;Achat de fournitures informatiques;MAROC BUREAU;local;Marché Fournitures;141 648;Direction des moyens generaux;Investissement;30;
09/10/2008 0:00;Acquisition du consommable bureautique;Direction des moyens generaux;Achat de fournitures informatiques;MAROC BUREAU;local;Marché Fournitures;141 648;Direction des moyens generaux;Investissement;30;
01/28/2008 00:00:00;Travaux;Direction des moyens generaux;Agencements et aménagements des constructions;SEPARATOR;local;Marché Travaux;7 302 816;Direction des moyens generaux;Investissement;5;
07/20/2007 00:00:00;Travaux;Direction des moyens generaux;Agencements et aménagements des constructions;SEPARATOR;local;Marché Travaux;7 302 816;Direction des moyens generaux;Investissement;5;
12/17/2007 00:00:00;Travaux;Direction des moyens generaux;Agencements et aménagements des constructions;SEPARATOR;local;Marché Travaux;7 302 816;Direction des moyens generaux;Investissement;5;
10/22/2007 00:00:00;Travaux;Direction des moyens generaux;Agencements et aménagements des constructions;SEPARATOR;local;Marché Travaux;7 302 816;Direction des moyens generaux;Investissement;5;
07/23/2007 00:00:00;Travaux;Direction des moyens generaux;Agencements et aménagements des constructions;SEPARATOR;local;Marché Travaux;7 302 816;Direction des moyens generaux;Investissement;5;
08/02/2007 0:00;Acquisition du consommable informatique;Direction des moyens generaux;Achat de fournitures informatiques;ACESS LAND;local;Marché Fournitures;87 120;Direction des moyens generaux;Investissement;2;
